Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
12/31/2007,0,0.00,6062.50,750.00,6812.50,575.00
01/01/2008,0,0,6062.50,750.00,6812.50,0
01/02/2008,1,1575.00,7637.50,3162.50,7650.00,837.50
01/03/2008,0,0.00,7637.50,0.00,7637.50,-12.50
01/04/2008,0,0.00,7637.50,0.00,7637.50,0.00
01/05/2008,0,0,7637.50,0.00,7637.50,0
01/06/2008,0,0,7637.50,0.00,7637.50,0
01/07/2008,0,0.00,7637.50,0.00,7637.50,0.00
01/08/2008,0,0.00,7637.50,0.00,7637.50,0.00
01/09/2008,0,0.00,7637.50,0.00,7637.50,0.00
01/10/2008,0,0.00,7637.50,0.00,7637.50,0.00
01/11/2008,0,0.00,7637.50,0.00,7637.50,0.00
01/12/2008,0,0,7637.50,0.00,7637.50,0
01/13/2008,0,0,7637.50,0.00,7637.50,0
01/14/2008,0,0.00,7637.50,0.00,7637.50,0.00
01/15/2008,0,0.00,7637.50,0.00,7637.50,0.00
01/16/2008,0,0.00,7637.50,0.00,7637.50,0.00
01/17/2008,0,0.00,7637.50,0.00,7637.50,0.00
01/18/2008,0,0.00,7637.50,0.00,7637.50,0.00
01/19/2008,0,0,7637.50,0.00,7637.50,0
01/20/2008,0,0,7637.50,0.00,7637.50,0
01/21/2008,0,0,7637.50,0.00,7637.50,0
01/22/2008,0,0.00,7637.50,0.00,7637.50,0.00
01/23/2008,0,0.00,7637.50,0.00,7637.50,0.00
01/24/2008,0,0.00,7637.50,0.00,7637.50,0.00
01/25/2008,0,0.00,7637.50,0.00,7637.50,0.00
01/26/2008,0,0,7637.50,0.00,7637.50,0
01/27/2008,0,0,7637.50,0.00,7637.50,0
01/28/2008,0,0.00,7637.50,0.00,7637.50,0.00
01/29/2008,0,0.00,7637.50,0.00,7637.50,0.00
01/30/2008,0,0.00,7637.50,0.00,7637.50,0.00
01/31/2008,0,0.00,7637.50,-1187.50,6450.00,-1187.50
02/01/2008,0,0.00,7637.50,-2337.50,5300.00,-1150.00
02/02/2008,0,0,7637.50,-2337.50,5300.00,0
02/03/2008,0,0,7637.50,-2337.50,5300.00,0
02/04/2008,0,0.00,7637.50,-1437.50,6200.00,900.00
02/05/2008,0,0.00,7637.50,375.00,8012.50,1812.50
02/06/2008,1,975.00,8612.50,1962.50,8625.00,612.50
02/07/2008,0,0.00,8612.50,0.00,8612.50,-12.50
02/08/2008,0,0.00,8612.50,0.00,8612.50,0.00
02/09/2008,0,0,8612.50,0.00,8612.50,0
02/10/2008,0,0,8612.50,0.00,8612.50,0
02/11/2008,0,0.00,8612.50,0.00,8612.50,0.00
02/12/2008,0,0.00,8612.50,0.00,8612.50,0.00
02/13/2008,0,0.00,8612.50,0.00,8612.50,0.00
02/14/2008,0,0.00,8612.50,0.00,8612.50,0.00
02/15/2008,0,0.00,8612.50,0.00,8612.50,0.00
02/16/2008,0,0,8612.50,0.00,8612.50,0
02/17/2008,0,0,8612.50,0.00,8612.50,0
02/18/2008,0,0,8612.50,0.00,8612.50,0
02/19/2008,0,0.00,8612.50,0.00,8612.50,0.00
02/20/2008,0,0.00,8612.50,0.00,8612.50,0.00
02/21/2008,0,0.00,8612.50,0.00,8612.50,0.00
02/22/2008,0,0.00,8612.50,0.00,8612.50,0.00
02/23/2008,0,0,8612.50,0.00,8612.50,0
02/24/2008,0,0,8612.50,0.00,8612.50,0
02/25/2008,0,0.00,8612.50,0.00,8612.50,0.00
02/26/2008,0,0.00,8612.50,0.00,8612.50,0.00
02/27/2008,0,0.00,8612.50,0.00,8612.50,0.00
02/28/2008,0,0.00,8612.50,0.00,8612.50,0.00
02/29/2008,0,0.00,8612.50,0.00,8612.50,0.00
03/01/2008,0,0,8612.50,0.00,8612.50,0
03/02/2008,0,0,8612.50,0.00,8612.50,0
03/03/2008,0,0.00,8612.50,0.00,8612.50,0.00
03/04/2008,0,0.00,8612.50,0.00,8612.50,0.00
03/05/2008,0,0.00,8612.50,0.00,8612.50,0.00
03/06/2008,0,0.00,8612.50,0.00,8612.50,0.00
03/07/2008,0,0.00,8612.50,0.00,8612.50,0.00
03/08/2008,0,0,8612.50,0.00,8612.50,0
03/09/2008,0,0,8612.50,0.00,8612.50,0
03/10/2008,0,0.00,8612.50,0.00,8612.50,0.00
03/11/2008,0,0.00,8612.50,0.00,8612.50,0.00
03/12/2008,0,0.00,8612.50,0.00,8612.50,0.00
03/13/2008,0,0.00,8612.50,0.00,8612.50,0.00
03/14/2008,0,0.00,8612.50,0.00,8612.50,0.00
03/15/2008,0,0,8612.50,0.00,8612.50,0
03/16/2008,0,0,8612.50,0.00,8612.50,0
03/17/2008,0,0.00,8612.50,0.00,8612.50,0.00
03/18/2008,0,0.00,8612.50,0.00,8612.50,0.00
03/19/2008,0,0.00,8612.50,0.00,8612.50,0.00
03/20/2008,0,0.00,8612.50,0.00,8612.50,0.00
03/21/2008,0,0,8612.50,0.00,8612.50,0
03/22/2008,0,0,8612.50,0.00,8612.50,0
03/23/2008,0,0,8612.50,0.00,8612.50,0
03/24/2008,0,0.00,8612.50,0.00,8612.50,0.00
03/25/2008,0,0.00,8612.50,0.00,8612.50,0.00
03/26/2008,0,0.00,8612.50,0.00,8612.50,0.00
03/27/2008,0,0.00,8612.50,0.00,8612.50,0.00
03/28/2008,0,0.00,8612.50,0.00,8612.50,0.00
03/29/2008,0,0,8612.50,0.00,8612.50,0
03/30/2008,0,0,8612.50,0.00,8612.50,0
03/31/2008,0,0.00,8612.50,0.00,8612.50,0.00
04/01/2008,0,0.00,8612.50,-2512.50,6100.00,-2512.50
04/02/2008,0,0.00,8612.50,-2462.50,6150.00,50.00
04/03/2008,0,0.00,8612.50,-2587.50,6025.00,-125.00
04/04/2008,0,0.00,8612.50,-2575.00,6037.50,12.50
04/05/2008,0,0,8612.50,-2575.00,6037.50,0
04/06/2008,0,0,8612.50,-2575.00,6037.50,0
04/07/2008,0,0.00,8612.50,-2550.00,6062.50,25.00
04/08/2008,0,0.00,8612.50,-2450.00,6162.50,100.00
04/09/2008,0,0.00,8612.50,-1962.50,6650.00,487.50
04/10/2008,0,0.00,8612.50,-2112.50,6500.00,-150.00
04/11/2008,0,0.00,8612.50,-725.00,7887.50,1387.50
04/12/2008,0,0,8612.50,-725.00,7887.50,0
04/13/2008,0,0,8612.50,-725.00,7887.50,0
04/14/2008,1,-500.00,8112.50,-987.50,8125.00,237.50
04/15/2008,0,0.00,8112.50,0.00,8112.50,-12.50
04/16/2008,0,0.00,8112.50,0.00,8112.50,0.00
04/17/2008,0,0.00,8112.50,0.00,8112.50,0.00
04/18/2008,0,0.00,8112.50,0.00,8112.50,0.00
04/19/2008,0,0,8112.50,0.00,8112.50,0
04/20/2008,0,0,8112.50,0.00,8112.50,0
04/21/2008,0,0.00,8112.50,0.00,8112.50,0.00
04/22/2008,0,0.00,8112.50,0.00,8112.50,0.00
04/23/2008,0,0.00,8112.50,0.00,8112.50,0.00
04/24/2008,0,0.00,8112.50,0.00,8112.50,0.00
04/25/2008,0,0.00,8112.50,0.00,8112.50,0.00
04/26/2008,0,0,8112.50,0.00,8112.50,0
04/27/2008,0,0,8112.50,0.00,8112.50,0
04/28/2008,0,0.00,8112.50,0.00,8112.50,0.00
04/29/2008,0,0.00,8112.50,0.00,8112.50,0.00
04/30/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/01/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/02/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/03/2008,0,0,8112.50,0.00,8112.50,0
05/04/2008,0,0,8112.50,0.00,8112.50,0
05/05/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/06/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/07/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/08/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/09/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/10/2008,0,0,8112.50,0.00,8112.50,0
05/11/2008,0,0,8112.50,0.00,8112.50,0
05/12/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/13/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/14/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/15/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/16/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/17/2008,0,0,8112.50,0.00,8112.50,0
05/18/2008,0,0,8112.50,0.00,8112.50,0
05/19/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/20/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/21/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/22/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/23/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/24/2008,0,0,8112.50,0.00,8112.50,0
05/25/2008,0,0,8112.50,0.00,8112.50,0
05/26/2008,0,0,8112.50,0.00,8112.50,0
05/27/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/28/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/29/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/30/2008,0,0.00,8112.50,0.00,8112.50,0.00
05/31/2008,0,0,8112.50,0.00,8112.50,0
06/01/2008,0,0,8112.50,0.00,8112.50,0
06/02/2008,0,0.00,8112.50,0.00,8112.50,0.00
06/03/2008,0,0.00,8112.50,0.00,8112.50,0.00
06/04/2008,0,0.00,8112.50,0.00,8112.50,0.00
06/05/2008,0,0.00,8112.50,0.00,8112.50,0.00
06/06/2008,0,0.00,8112.50,0.00,8112.50,0.00
06/07/2008,0,0,8112.50,0.00,8112.50,0
06/08/2008,0,0,8112.50,0.00,8112.50,0
06/09/2008,0,0.00,8112.50,0.00,8112.50,0.00
06/10/2008,0,0.00,8112.50,0.00,8112.50,0.00
06/11/2008,0,0.00,8112.50,0.00,8112.50,0.00
06/12/2008,0,0.00,8112.50,0.00,8112.50,0.00
06/13/2008,0,0.00,8112.50,0.00,8112.50,0.00
06/14/2008,0,0,8112.50,0.00,8112.50,0
06/15/2008,0,0,8112.50,0.00,8112.50,0
06/16/2008,0,0.00,8112.50,0.00,8112.50,0.00
06/17/2008,0,0.00,8112.50,0.00,8112.50,0.00
06/18/2008,0,0.00,8112.50,0.00,8112.50,0.00
06/19/2008,0,0.00,8112.50,0.00,8112.50,0.00
06/20/2008,0,0.00,8112.50,0.00,8112.50,0.00
06/21/2008,0,0,8112.50,0.00,8112.50,0
06/22/2008,0,0,8112.50,0.00,8112.50,0
06/23/2008,0,0.00,8112.50,0.00,8112.50,0.00
06/24/2008,0,0.00,8112.50,0.00,8112.50,0.00
06/25/2008,0,0.00,8112.50,0.00,8112.50,0.00
06/26/2008,0,0.00,8112.50,0.00,8112.50,0.00
06/27/2008,0,0.00,8112.50,0.00,8112.50,0.00
06/28/2008,0,0,8112.50,0.00,8112.50,0
06/29/2008,0,0,8112.50,0.00,8112.50,0
06/30/2008,0,0.00,8112.50,0.00,8112.50,0.00
07/01/2008,0,0.00,8112.50,0.00,8112.50,0.00
07/02/2008,0,0.00,8112.50,0.00,8112.50,0.00
07/03/2008,0,0.00,8112.50,0.00,8112.50,0.00
07/04/2008,0,0,8112.50,0.00,8112.50,0
07/05/2008,0,0,8112.50,0.00,8112.50,0
07/06/2008,0,0,8112.50,0.00,8112.50,0
07/07/2008,0,0.00,8112.50,0.00,8112.50,0.00
07/08/2008,0,0.00,8112.50,0.00,8112.50,0.00
07/09/2008,0,0.00,8112.50,0.00,8112.50,0.00
07/10/2008,0,0.00,8112.50,0.00,8112.50,0.00
07/11/2008,0,0.00,8112.50,0.00,8112.50,0.00
07/12/2008,0,0,8112.50,0.00,8112.50,0
07/13/2008,0,0,8112.50,0.00,8112.50,0
07/14/2008,0,0.00,8112.50,0.00,8112.50,0.00
07/15/2008,0,0.00,8112.50,0.00,8112.50,0.00
07/16/2008,0,0.00,8112.50,0.00,8112.50,0.00
