Date,Trades,NetProfit,CumClosedNetProfit,Open/ClosedPositionProfit,CumMark-To-Market,Daily-Mark-To-Market
12/31/2007,0,0.00,8700.00,0.00,8700.00,0.00
01/01/2008,0,0,8700.00,0.00,8700.00,0
01/02/2008,0,0.00,8700.00,0.00,8700.00,0.00
01/03/2008,0,0.00,8700.00,0.00,8700.00,0.00
01/04/2008,0,0.00,8700.00,0.00,8700.00,0.00
01/05/2008,0,0,8700.00,0.00,8700.00,0
01/06/2008,0,0,8700.00,0.00,8700.00,0
01/07/2008,0,0.00,8700.00,0.00,8700.00,0.00
01/08/2008,0,0.00,8700.00,0.00,8700.00,0.00
01/09/2008,0,0.00,8700.00,0.00,8700.00,0.00
01/10/2008,0,0.00,8700.00,0.00,8700.00,0.00
01/11/2008,0,0.00,8700.00,0.00,8700.00,0.00
01/12/2008,0,0,8700.00,0.00,8700.00,0
01/13/2008,0,0,8700.00,0.00,8700.00,0
01/14/2008,0,0.00,8700.00,0.00,8700.00,0.00
01/15/2008,0,0.00,8700.00,0.00,8700.00,0.00
01/16/2008,0,0.00,8700.00,0.00,8700.00,0.00
01/17/2008,0,0.00,8700.00,0.00,8700.00,0.00
01/18/2008,0,0.00,8700.00,0.00,8700.00,0.00
01/19/2008,0,0,8700.00,0.00,8700.00,0
01/20/2008,0,0,8700.00,0.00,8700.00,0
01/21/2008,0,0,8700.00,0.00,8700.00,0
01/22/2008,0,0.00,8700.00,-175.00,8525.00,-175.00
01/23/2008,0,0.00,8700.00,2455.00,11155.00,2630.00
01/24/2008,1,2330.00,11030.00,2330.00,11030.00,-125.00
01/25/2008,0,0.00,11030.00,0.00,11030.00,0.00
01/26/2008,0,0,11030.00,0.00,11030.00,0
01/27/2008,0,0,11030.00,0.00,11030.00,0
01/28/2008,0,0.00,11030.00,0.00,11030.00,0.00
01/29/2008,0,0.00,11030.00,0.00,11030.00,0.00
01/30/2008,0,0.00,11030.00,0.00,11030.00,0.00
01/31/2008,0,0.00,11030.00,0.00,11030.00,0.00
02/01/2008,0,0.00,11030.00,0.00,11030.00,0.00
02/02/2008,0,0,11030.00,0.00,11030.00,0
02/03/2008,0,0,11030.00,0.00,11030.00,0
02/04/2008,0,0.00,11030.00,0.00,11030.00,0.00
02/05/2008,0,0.00,11030.00,0.00,11030.00,0.00
02/06/2008,0,0.00,11030.00,0.00,11030.00,0.00
02/07/2008,0,0.00,11030.00,0.00,11030.00,0.00
02/08/2008,0,0.00,11030.00,0.00,11030.00,0.00
02/09/2008,0,0,11030.00,0.00,11030.00,0
02/10/2008,0,0,11030.00,0.00,11030.00,0
02/11/2008,0,0.00,11030.00,0.00,11030.00,0.00
02/12/2008,0,0.00,11030.00,0.00,11030.00,0.00
02/13/2008,0,0.00,11030.00,0.00,11030.00,0.00
02/14/2008,0,0.00,11030.00,0.00,11030.00,0.00
02/15/2008,0,0.00,11030.00,0.00,11030.00,0.00
02/16/2008,0,0,11030.00,0.00,11030.00,0
02/17/2008,0,0,11030.00,0.00,11030.00,0
02/18/2008,0,0,11030.00,0.00,11030.00,0
02/19/2008,0,0.00,11030.00,0.00,11030.00,0.00
02/20/2008,0,0.00,11030.00,0.00,11030.00,0.00
02/21/2008,0,0.00,11030.00,0.00,11030.00,0.00
02/22/2008,0,0.00,11030.00,0.00,11030.00,0.00
02/23/2008,0,0,11030.00,0.00,11030.00,0
02/24/2008,0,0,11030.00,0.00,11030.00,0
02/25/2008,0,0.00,11030.00,0.00,11030.00,0.00
02/26/2008,0,0.00,11030.00,0.00,11030.00,0.00
02/27/2008,0,0.00,11030.00,0.00,11030.00,0.00
02/28/2008,0,0.00,11030.00,0.00,11030.00,0.00
02/29/2008,0,0.00,11030.00,0.00,11030.00,0.00
03/01/2008,0,0,11030.00,0.00,11030.00,0
03/02/2008,0,0,11030.00,0.00,11030.00,0
03/03/2008,0,0.00,11030.00,0.00,11030.00,0.00
03/04/2008,0,0.00,11030.00,0.00,11030.00,0.00
03/05/2008,0,0.00,11030.00,0.00,11030.00,0.00
03/06/2008,0,0.00,11030.00,0.00,11030.00,0.00
03/07/2008,0,0.00,11030.00,0.00,11030.00,0.00
03/08/2008,0,0,11030.00,0.00,11030.00,0
03/09/2008,0,0,11030.00,0.00,11030.00,0
03/10/2008,0,0.00,11030.00,0.00,11030.00,0.00
03/11/2008,0,0.00,11030.00,0.00,11030.00,0.00
03/12/2008,0,0.00,11030.00,0.00,11030.00,0.00
03/13/2008,0,0.00,11030.00,0.00,11030.00,0.00
03/14/2008,0,0.00,11030.00,0.00,11030.00,0.00
03/15/2008,0,0,11030.00,0.00,11030.00,0
03/16/2008,0,0,11030.00,0.00,11030.00,0
03/17/2008,0,0.00,11030.00,0.00,11030.00,0.00
03/18/2008,0,0.00,11030.00,0.00,11030.00,0.00
03/19/2008,0,0.00,11030.00,0.00,11030.00,0.00
03/20/2008,0,0.00,11030.00,0.00,11030.00,0.00
03/21/2008,0,0,11030.00,0.00,11030.00,0
03/22/2008,0,0,11030.00,0.00,11030.00,0
03/23/2008,0,0,11030.00,0.00,11030.00,0
03/24/2008,0,0.00,11030.00,0.00,11030.00,0.00
03/25/2008,0,0.00,11030.00,0.00,11030.00,0.00
03/26/2008,0,0.00,11030.00,0.00,11030.00,0.00
03/27/2008,0,0.00,11030.00,0.00,11030.00,0.00
03/28/2008,0,0.00,11030.00,0.00,11030.00,0.00
03/29/2008,0,0,11030.00,0.00,11030.00,0
03/30/2008,0,0,11030.00,0.00,11030.00,0
03/31/2008,0,0.00,11030.00,0.00,11030.00,0.00
04/01/2008,0,0.00,11030.00,0.00,11030.00,0.00
04/02/2008,0,0.00,11030.00,0.00,11030.00,0.00
04/03/2008,0,0.00,11030.00,0.00,11030.00,0.00
04/04/2008,0,0.00,11030.00,0.00,11030.00,0.00
04/05/2008,0,0,11030.00,0.00,11030.00,0
04/06/2008,0,0,11030.00,0.00,11030.00,0
04/07/2008,0,0.00,11030.00,895.00,11925.00,895.00
04/08/2008,1,780.00,11810.00,780.00,11810.00,-115.00
04/09/2008,0,0.00,11810.00,0.00,11810.00,0.00
04/10/2008,0,0.00,11810.00,0.00,11810.00,0.00
04/11/2008,0,0.00,11810.00,0.00,11810.00,0.00
04/12/2008,0,0,11810.00,0.00,11810.00,0
04/13/2008,0,0,11810.00,0.00,11810.00,0
04/14/2008,0,0.00,11810.00,0.00,11810.00,0.00
04/15/2008,0,0.00,11810.00,0.00,11810.00,0.00
04/16/2008,0,0.00,11810.00,0.00,11810.00,0.00
04/17/2008,0,0.00,11810.00,0.00,11810.00,0.00
04/18/2008,0,0.00,11810.00,0.00,11810.00,0.00
04/19/2008,0,0,11810.00,0.00,11810.00,0
04/20/2008,0,0,11810.00,0.00,11810.00,0
04/21/2008,0,0.00,11810.00,0.00,11810.00,0.00
04/22/2008,0,0.00,11810.00,0.00,11810.00,0.00
04/23/2008,0,0.00,11810.00,0.00,11810.00,0.00
04/24/2008,0,0.00,11810.00,0.00,11810.00,0.00
04/25/2008,0,0.00,11810.00,0.00,11810.00,0.00
04/26/2008,0,0,11810.00,0.00,11810.00,0
04/27/2008,0,0,11810.00,0.00,11810.00,0
04/28/2008,0,0.00,11810.00,0.00,11810.00,0.00
04/29/2008,0,0.00,11810.00,0.00,11810.00,0.00
04/30/2008,0,0.00,11810.00,0.00,11810.00,0.00
05/01/2008,0,0.00,11810.00,0.00,11810.00,0.00
05/02/2008,0,0.00,11810.00,0.00,11810.00,0.00
05/03/2008,0,0,11810.00,0.00,11810.00,0
05/04/2008,0,0,11810.00,0.00,11810.00,0
05/05/2008,0,0.00,11810.00,0.00,11810.00,0.00
05/06/2008,0,0.00,11810.00,0.00,11810.00,0.00
05/07/2008,0,0.00,11810.00,1205.00,13015.00,1205.00
05/08/2008,1,1140.00,12950.00,1140.00,12950.00,-65.00
05/09/2008,0,0.00,12950.00,0.00,12950.00,0.00
05/10/2008,0,0,12950.00,0.00,12950.00,0
05/11/2008,0,0,12950.00,0.00,12950.00,0
05/12/2008,0,0.00,12950.00,0.00,12950.00,0.00
05/13/2008,0,0.00,12950.00,0.00,12950.00,0.00
05/14/2008,0,0.00,12950.00,0.00,12950.00,0.00
05/15/2008,0,0.00,12950.00,0.00,12950.00,0.00
05/16/2008,0,0.00,12950.00,0.00,12950.00,0.00
05/17/2008,0,0,12950.00,0.00,12950.00,0
05/18/2008,0,0,12950.00,0.00,12950.00,0
05/19/2008,0,0.00,12950.00,0.00,12950.00,0.00
05/20/2008,0,0.00,12950.00,0.00,12950.00,0.00
05/21/2008,0,0.00,12950.00,0.00,12950.00,0.00
05/22/2008,0,0.00,12950.00,0.00,12950.00,0.00
05/23/2008,0,0.00,12950.00,0.00,12950.00,0.00
05/24/2008,0,0,12950.00,0.00,12950.00,0
05/25/2008,0,0,12950.00,0.00,12950.00,0
05/26/2008,0,0,12950.00,0.00,12950.00,0
